description,command
allow incoming TCP traffic on port 708,iptables -A INPUT -p tcp --dport 708 -j ACCEPT <eos>
allow incoming TCP traffic on port 709,iptables -A INPUT -p tcp --dport 709 -j ACCEPT <eos>
allow incoming TCP traffic on port 710,iptables -A INPUT -p tcp --dport 710 -j ACCEPT <eos>
allow incoming TCP traffic on port 711,iptables -A INPUT -p tcp --dport 711 -j ACCEPT <eos>
allow incoming TCP traffic on port 712,iptables -A INPUT -p tcp --dport 712 -j ACCEPT <eos>
allow incoming TCP traffic on port 713,iptables -A INPUT -p tcp --dport 713 -j ACCEPT <eos>
allow incoming TCP traffic on port 714,iptables -A INPUT -p tcp --dport 714 -j ACCEPT <eos>
allow incoming TCP traffic on port 715,iptables -A INPUT -p tcp --dport 715 -j ACCEPT <eos>
allow incoming TCP traffic on port 716,iptables -A INPUT -p tcp --dport 716 -j ACCEPT <eos>
allow incoming TCP traffic on port 717,iptables -A INPUT -p tcp --dport 717 -j ACCEPT <eos>
allow incoming TCP traffic on port 718,iptables -A INPUT -p tcp --dport 718 -j ACCEPT <eos>
allow incoming TCP traffic on port 719,iptables -A INPUT -p tcp --dport 719 -j ACCEPT <eos>
allow incoming TCP traffic on port 720,iptables -A INPUT -p tcp --dport 720 -j ACCEPT <eos>
allow incoming TCP traffic on port 721,iptables -A INPUT -p tcp --dport 721 -j ACCEPT <eos>
allow incoming TCP traffic on port 722,iptables -A INPUT -p tcp --dport 722 -j ACCEPT <eos>
allow incoming TCP traffic on port 723,iptables -A INPUT -p tcp --dport 723 -j ACCEPT <eos>
allow incoming TCP traffic on port 724,iptables -A INPUT -p tcp --dport 724 -j ACCEPT <eos>
allow incoming TCP traffic on port 725,iptables -A INPUT -p tcp --dport 725 -j ACCEPT <eos>
allow incoming TCP traffic on port 726,iptables -A INPUT -p tcp --dport 726 -j ACCEPT <eos>
allow incoming TCP traffic on port 727,iptables -A INPUT -p tcp --dport 727 -j ACCEPT <eos>
allow incoming TCP traffic on port 728,iptables -A INPUT -p tcp --dport 728 -j ACCEPT <eos>
allow incoming TCP traffic on port 729,iptables -A INPUT -p tcp --dport 729 -j ACCEPT <eos>
allow incoming TCP traffic on port 730,iptables -A INPUT -p tcp --dport 730 -j ACCEPT <eos>
allow incoming TCP traffic on port 731,iptables -A INPUT -p tcp --dport 731 -j ACCEPT <eos>
allow incoming TCP traffic on port 732,iptables -A INPUT -p tcp --dport 732 -j ACCEPT <eos>
allow incoming TCP traffic on port 733,iptables -A INPUT -p tcp --dport 733 -j ACCEPT <eos>
allow incoming TCP traffic on port 734,iptables -A INPUT -p tcp --dport 734 -j ACCEPT <eos>
allow incoming TCP traffic on port 735,iptables -A INPUT -p tcp --dport 735 -j ACCEPT <eos>
allow incoming TCP traffic on port 736,iptables -A INPUT -p tcp --dport 736 -j ACCEPT <eos>
allow incoming TCP traffic on port 737,iptables -A INPUT -p tcp --dport 737 -j ACCEPT <eos>
allow incoming TCP traffic on port 738,iptables -A INPUT -p tcp --dport 738 -j ACCEPT <eos>
allow incoming TCP traffic on port 739,iptables -A INPUT -p tcp --dport 739 -j ACCEPT <eos>
allow incoming TCP traffic on port 740,iptables -A INPUT -p tcp --dport 740 -j ACCEPT <eos>
allow incoming TCP traffic on port 741,iptables -A INPUT -p tcp --dport 741 -j ACCEPT <eos>
allow incoming TCP traffic on port 742,iptables -A INPUT -p tcp --dport 742 -j ACCEPT <eos>
allow incoming TCP traffic on port 743,iptables -A INPUT -p tcp --dport 743 -j ACCEPT <eos>
allow incoming TCP traffic on port 744,iptables -A INPUT -p tcp --dport 744 -j ACCEPT <eos>
allow incoming TCP traffic on port 745,iptables -A INPUT -p tcp --dport 745 -j ACCEPT <eos>
allow incoming TCP traffic on port 746,iptables -A INPUT -p tcp --dport 746 -j ACCEPT <eos>
allow incoming TCP traffic on port 747,iptables -A INPUT -p tcp --dport 747 -j ACCEPT <eos>
allow incoming TCP traffic on port 748,iptables -A INPUT -p tcp --dport 748 -j ACCEPT <eos>
allow incoming TCP traffic on port 749,iptables -A INPUT -p tcp --dport 749 -j ACCEPT <eos>
allow incoming TCP traffic on port 750,iptables -A INPUT -p tcp --dport 750 -j ACCEPT <eos>
allow incoming TCP traffic on port 751,iptables -A INPUT -p tcp --dport 751 -j ACCEPT <eos>
allow incoming TCP traffic on port 752,iptables -A INPUT -p tcp --dport 752 -j ACCEPT <eos>
allow incoming TCP traffic on port 753,iptables -A INPUT -p tcp --dport 753 -j ACCEPT <eos>
allow incoming TCP traffic on port 754,iptables -A INPUT -p tcp --dport 754 -j ACCEPT <eos>
allow incoming TCP traffic on port 755,iptables -A INPUT -p tcp --dport 755 -j ACCEPT <eos>
allow incoming TCP traffic on port 756,iptables -A INPUT -p tcp --dport 756 -j ACCEPT <eos>
allow incoming TCP traffic on port 757,iptables -A INPUT -p tcp --dport 757 -j ACCEPT <eos>
allow incoming TCP traffic on port 758,iptables -A INPUT -p tcp --dport 758 -j ACCEPT <eos>
allow incoming TCP traffic on port 759,iptables -A INPUT -p tcp --dport 759 -j ACCEPT <eos>
allow incoming TCP traffic on port 760,iptables -A INPUT -p tcp --dport 760 -j ACCEPT <eos>
allow incoming TCP traffic on port 761,iptables -A INPUT -p tcp --dport 761 -j ACCEPT <eos>
allow incoming TCP traffic on port 762,iptables -A INPUT -p tcp --dport 762 -j ACCEPT <eos>
allow incoming TCP traffic on port 763,iptables -A INPUT -p tcp --dport 763 -j ACCEPT <eos>
allow incoming TCP traffic on port 764,iptables -A INPUT -p tcp --dport 764 -j ACCEPT <eos>
allow incoming TCP traffic on port 765,iptables -A INPUT -p tcp --dport 765 -j ACCEPT <eos>
allow incoming TCP traffic on port 766,iptables -A INPUT -p tcp --dport 766 -j ACCEPT <eos>
allow incoming TCP traffic on port 767,iptables -A INPUT -p tcp --dport 767 -j ACCEPT <eos>
allow incoming TCP traffic on port 768,iptables -A INPUT -p tcp --dport 768 -j ACCEPT <eos>
allow incoming TCP traffic on port 769,iptables -A INPUT -p tcp --dport 769 -j ACCEPT <eos>
allow incoming TCP traffic on port 770,iptables -A INPUT -p tcp --dport 770 -j ACCEPT <eos>
allow incoming TCP traffic on port 771,iptables -A INPUT -p tcp --dport 771 -j ACCEPT <eos>
allow incoming TCP traffic on port 772,iptables -A INPUT -p tcp --dport 772 -j ACCEPT <eos>
allow incoming TCP traffic on port 773,iptables -A INPUT -p tcp --dport 773 -j ACCEPT <eos>
allow incoming TCP traffic on port 774,iptables -A INPUT -p tcp --dport 774 -j ACCEPT <eos>
allow incoming TCP traffic on port 775,iptables -A INPUT -p tcp --dport 775 -j ACCEPT <eos>
allow incoming TCP traffic on port 776,iptables -A INPUT -p tcp --dport 776 -j ACCEPT <eos>
allow incoming TCP traffic on port 777,iptables -A INPUT -p tcp --dport 777 -j ACCEPT <eos>
allow incoming TCP traffic on port 778,iptables -A INPUT -p tcp --dport 778 -j ACCEPT <eos>
allow incoming TCP traffic on port 779,iptables -A INPUT -p tcp --dport 779 -j ACCEPT <eos>
allow incoming TCP traffic on port 780,iptables -A INPUT -p tcp --dport 780 -j ACCEPT <eos>
allow incoming TCP traffic on port 781,iptables -A INPUT -p tcp --dport 781 -j ACCEPT <eos>
allow incoming TCP traffic on port 782,iptables -A INPUT -p tcp --dport 782 -j ACCEPT <eos>
allow incoming TCP traffic on port 783,iptables -A INPUT -p tcp --dport 783 -j ACCEPT <eos>
allow incoming TCP traffic on port 784,iptables -A INPUT -p tcp --dport 784 -j ACCEPT <eos>
allow incoming TCP traffic on port 785,iptables -A INPUT -p tcp --dport 785 -j ACCEPT <eos>
allow incoming TCP traffic on port 786,iptables -A INPUT -p tcp --dport 786 -j ACCEPT <eos>
allow incoming TCP traffic on port 787,iptables -A INPUT -p tcp --dport 787 -j ACCEPT <eos>
allow incoming TCP traffic on port 788,iptables -A INPUT -p tcp --dport 788 -j ACCEPT <eos>
allow incoming TCP traffic on port 789,iptables -A INPUT -p tcp --dport 789 -j ACCEPT <eos>
allow incoming TCP traffic on port 790,iptables -A INPUT -p tcp --dport 790 -j ACCEPT <eos>
allow incoming TCP traffic on port 791,iptables -A INPUT -p tcp --dport 791 -j ACCEPT <eos>
allow incoming TCP traffic on port 792,iptables -A INPUT -p tcp --dport 792 -j ACCEPT <eos>
allow incoming TCP traffic on port 793,iptables -A INPUT -p tcp --dport 793 -j ACCEPT <eos>
allow incoming TCP traffic on port 794,iptables -A INPUT -p tcp --dport 794 -j ACCEPT <eos>
allow incoming TCP traffic on port 795,iptables -A INPUT -p tcp --dport 795 -j ACCEPT <eos>
allow incoming TCP traffic on port 796,iptables -A INPUT -p tcp --dport 796 -j ACCEPT <eos>
allow incoming TCP traffic on port 797,iptables -A INPUT -p tcp --dport 797 -j ACCEPT <eos>
allow incoming TCP traffic on port 798,iptables -A INPUT -p tcp --dport 798 -j ACCEPT <eos>
allow incoming TCP traffic on port 799,iptables -A INPUT -p tcp --dport 799 -j ACCEPT <eos>
allow incoming TCP traffic on port 800,iptables -A INPUT -p tcp --dport 800 -j ACCEPT <eos>
allow incoming TCP traffic on port 801,iptables -A INPUT -p tcp --dport 801 -j ACCEPT <eos>
allow incoming TCP traffic on port 802,iptables -A INPUT -p tcp --dport 802 -j ACCEPT <eos>
allow incoming TCP traffic on port 803,iptables -A INPUT -p tcp --dport 803 -j ACCEPT <eos>
allow incoming TCP traffic on port 804,iptables -A INPUT -p tcp --dport 804 -j ACCEPT <eos>
allow incoming TCP traffic on port 805,iptables -A INPUT -p tcp --dport 805 -j ACCEPT <eos>
allow incoming TCP traffic on port 806,iptables -A INPUT -p tcp --dport 806 -j ACCEPT <eos>
allow incoming TCP traffic on port 807,iptables -A INPUT -p tcp --dport 807 -j ACCEPT <eos>
allow incoming TCP traffic on port 808,iptables -A INPUT -p tcp --dport 808 -j ACCEPT <eos>
allow incoming TCP traffic on port 809,iptables -A INPUT -p tcp --dport 809 -j ACCEPT <eos>
allow incoming TCP traffic on port 810,iptables -A INPUT -p tcp --dport 810 -j ACCEPT <eos>
allow incoming TCP traffic on port 811,iptables -A INPUT -p tcp --dport 811 -j ACCEPT <eos>
allow incoming TCP traffic on port 812,iptables -A INPUT -p tcp --dport 812 -j ACCEPT <eos>
allow incoming TCP traffic on port 813,iptables -A INPUT -p tcp --dport 813 -j ACCEPT <eos>
allow incoming TCP traffic on port 814,iptables -A INPUT -p tcp --dport 814 -j ACCEPT <eos>
allow incoming TCP traffic on port 815,iptables -A INPUT -p tcp --dport 815 -j ACCEPT <eos>
allow incoming TCP traffic on port 816,iptables -A INPUT -p tcp --dport 816 -j ACCEPT <eos>
allow incoming TCP traffic on port 817,iptables -A INPUT -p tcp --dport 817 -j ACCEPT <eos>
allow incoming TCP traffic on port 818,iptables -A INPUT -p tcp --dport 818 -j ACCEPT <eos>
allow incoming TCP traffic on port 819,iptables -A INPUT -p tcp --dport 819 -j ACCEPT <eos>
allow incoming TCP traffic on port 820,iptables -A INPUT -p tcp --dport 820 -j ACCEPT <eos>
allow incoming TCP traffic on port 821,iptables -A INPUT -p tcp --dport 821 -j ACCEPT <eos>
allow incoming TCP traffic on port 822,iptables -A INPUT -p tcp --dport 822 -j ACCEPT <eos>
allow incoming TCP traffic on port 823,iptables -A INPUT -p tcp --dport 823 -j ACCEPT <eos>
allow incoming TCP traffic on port 824,iptables -A INPUT -p tcp --dport 824 -j ACCEPT <eos>
allow incoming TCP traffic on port 825,iptables -A INPUT -p tcp --dport 825 -j ACCEPT <eos>
allow incoming TCP traffic on port 826,iptables -A INPUT -p tcp --dport 826 -j ACCEPT <eos>
allow incoming TCP traffic on port 827,iptables -A INPUT -p tcp --dport 827 -j ACCEPT <eos>
allow incoming TCP traffic on port 828,iptables -A INPUT -p tcp --dport 828 -j ACCEPT <eos>
allow incoming TCP traffic on port 829,iptables -A INPUT -p tcp --dport 829 -j ACCEPT <eos>
allow incoming TCP traffic on port 830,iptables -A INPUT -p tcp --dport 830 -j ACCEPT <eos>
allow incoming TCP traffic on port 831,iptables -A INPUT -p tcp --dport 831 -j ACCEPT <eos>
allow incoming TCP traffic on port 832,iptables -A INPUT -p tcp --dport 832 -j ACCEPT <eos>
allow incoming TCP traffic on port 833,iptables -A INPUT -p tcp --dport 833 -j ACCEPT <eos>
allow incoming TCP traffic on port 834,iptables -A INPUT -p tcp --dport 834 -j ACCEPT <eos>
allow incoming TCP traffic on port 835,iptables -A INPUT -p tcp --dport 835 -j ACCEPT <eos>
allow incoming TCP traffic on port 836,iptables -A INPUT -p tcp --dport 836 -j ACCEPT <eos>
allow incoming TCP traffic on port 837,iptables -A INPUT -p tcp --dport 837 -j ACCEPT <eos>
allow incoming TCP traffic on port 838,iptables -A INPUT -p tcp --dport 838 -j ACCEPT <eos>
allow incoming TCP traffic on port 839,iptables -A INPUT -p tcp --dport 839 -j ACCEPT <eos>
allow incoming TCP traffic on port 840,iptables -A INPUT -p tcp --dport 840 -j ACCEPT <eos>
allow incoming TCP traffic on port 841,iptables -A INPUT -p tcp --dport 841 -j ACCEPT <eos>
allow incoming TCP traffic on port 842,iptables -A INPUT -p tcp --dport 842 -j ACCEPT <eos>
allow incoming TCP traffic on port 843,iptables -A INPUT -p tcp --dport 843 -j ACCEPT <eos>
allow incoming TCP traffic on port 844,iptables -A INPUT -p tcp --dport 844 -j ACCEPT <eos>
allow incoming TCP traffic on port 845,iptables -A INPUT -p tcp --dport 845 -j ACCEPT <eos>
allow incoming TCP traffic on port 846,iptables -A INPUT -p tcp --dport 846 -j ACCEPT <eos>
allow incoming TCP traffic on port 847,iptables -A INPUT -p tcp --dport 847 -j ACCEPT <eos>
allow incoming TCP traffic on port 848,iptables -A INPUT -p tcp --dport 848 -j ACCEPT <eos>
allow incoming TCP traffic on port 849,iptables -A INPUT -p tcp --dport 849 -j ACCEPT <eos>
allow incoming TCP traffic on port 850,iptables -A INPUT -p tcp --dport 850 -j ACCEPT <eos>
allow incoming TCP traffic on port 851,iptables -A INPUT -p tcp --dport 851 -j ACCEPT <eos>
allow incoming TCP traffic on port 852,iptables -A INPUT -p tcp --dport 852 -j ACCEPT <eos>
allow incoming TCP traffic on port 853,iptables -A INPUT -p tcp --dport 853 -j ACCEPT <eos>
allow incoming TCP traffic on port 854,iptables -A INPUT -p tcp --dport 854 -j ACCEPT <eos>
allow incoming TCP traffic on port 855,iptables -A INPUT -p tcp --dport 855 -j ACCEPT <eos>
allow incoming TCP traffic on port 856,iptables -A INPUT -p tcp --dport 856 -j ACCEPT <eos>
allow incoming TCP traffic on port 857,iptables -A INPUT -p tcp --dport 857 -j ACCEPT <eos>
allow incoming TCP traffic on port 858,iptables -A INPUT -p tcp --dport 858 -j ACCEPT <eos>
allow incoming TCP traffic on port 859,iptables -A INPUT -p tcp --dport 859 -j ACCEPT <eos>
allow incoming TCP traffic on port 860,iptables -A INPUT -p tcp --dport 860 -j ACCEPT <eos>
allow incoming TCP traffic on port 861,iptables -A INPUT -p tcp --dport 861 -j ACCEPT <eos>
allow incoming TCP traffic on port 862,iptables -A INPUT -p tcp --dport 862 -j ACCEPT <eos>
allow incoming TCP traffic on port 863,iptables -A INPUT -p tcp --dport 863 -j ACCEPT <eos>
allow incoming TCP traffic on port 864,iptables -A INPUT -p tcp --dport 864 -j ACCEPT <eos>
allow incoming TCP traffic on port 865,iptables -A INPUT -p tcp --dport 865 -j ACCEPT <eos>
allow incoming TCP traffic on port 866,iptables -A INPUT -p tcp --dport 866 -j ACCEPT <eos>
allow incoming TCP traffic on port 867,iptables -A INPUT -p tcp --dport 867 -j ACCEPT <eos>
allow incoming TCP traffic on port 868,iptables -A INPUT -p tcp --dport 868 -j ACCEPT <eos>
allow incoming TCP traffic on port 869,iptables -A INPUT -p tcp --dport 869 -j ACCEPT <eos>
allow incoming TCP traffic on port 870,iptables -A INPUT -p tcp --dport 870 -j ACCEPT <eos>
allow incoming TCP traffic on port 871,iptables -A INPUT -p tcp --dport 871 -j ACCEPT <eos>
allow incoming TCP traffic on port 872,iptables -A INPUT -p tcp --dport 872 -j ACCEPT <eos>
allow incoming TCP traffic on port 873,iptables -A INPUT -p tcp --dport 873 -j ACCEPT <eos>
allow incoming TCP traffic on port 874,iptables -A INPUT -p tcp --dport 874 -j ACCEPT <eos>
allow incoming TCP traffic on port 875,iptables -A INPUT -p tcp --dport 875 -j ACCEPT <eos>
allow incoming TCP traffic on port 876,iptables -A INPUT -p tcp --dport 876 -j ACCEPT <eos>
allow incoming TCP traffic on port 877,iptables -A INPUT -p tcp --dport 877 -j ACCEPT <eos>
allow incoming TCP traffic on port 878,iptables -A INPUT -p tcp --dport 878 -j ACCEPT <eos>
allow incoming TCP traffic on port 879,iptables -A INPUT -p tcp --dport 879 -j ACCEPT <eos>
allow incoming TCP traffic on port 880,iptables -A INPUT -p tcp --dport 880 -j ACCEPT <eos>
allow incoming TCP traffic on port 881,iptables -A INPUT -p tcp --dport 881 -j ACCEPT <eos>
allow incoming TCP traffic on port 882,iptables -A INPUT -p tcp --dport 882 -j ACCEPT <eos>
allow incoming TCP traffic on port 883,iptables -A INPUT -p tcp --dport 883 -j ACCEPT <eos>
allow incoming TCP traffic on port 884,iptables -A INPUT -p tcp --dport 884 -j ACCEPT <eos>
allow incoming TCP traffic on port 885,iptables -A INPUT -p tcp --dport 885 -j ACCEPT <eos>
allow incoming TCP traffic on port 886,iptables -A INPUT -p tcp --dport 886 -j ACCEPT <eos>
allow incoming TCP traffic on port 887,iptables -A INPUT -p tcp --dport 887 -j ACCEPT <eos>
allow incoming TCP traffic on port 888,iptables -A INPUT -p tcp --dport 888 -j ACCEPT <eos>
allow incoming TCP traffic on port 889,iptables -A INPUT -p tcp --dport 889 -j ACCEPT <eos>
allow incoming TCP traffic on port 890,iptables -A INPUT -p tcp --dport 890 -j ACCEPT <eos>
allow incoming TCP traffic on port 891,iptables -A INPUT -p tcp --dport 891 -j ACCEPT <eos>
allow incoming TCP traffic on port 892,iptables -A INPUT -p tcp --dport 892 -j ACCEPT <eos>
allow incoming TCP traffic on port 893,iptables -A INPUT -p tcp --dport 893 -j ACCEPT <eos>
allow incoming TCP traffic on port 894,iptables -A INPUT -p tcp --dport 894 -j ACCEPT <eos>
allow incoming TCP traffic on port 895,iptables -A INPUT -p tcp --dport 895 -j ACCEPT <eos>
allow incoming TCP traffic on port 896,iptables -A INPUT -p tcp --dport 896 -j ACCEPT <eos>
allow incoming TCP traffic on port 897,iptables -A INPUT -p tcp --dport 897 -j ACCEPT <eos>
allow incoming TCP traffic on port 898,iptables -A INPUT -p tcp --dport 898 -j ACCEPT <eos>
allow incoming TCP traffic on port 899,iptables -A INPUT -p tcp --dport 899 -j ACCEPT <eos>
allow incoming TCP traffic on port 900,iptables -A INPUT -p tcp --dport 900 -j ACCEPT <eos>
allow incoming TCP traffic on port 901,iptables -A INPUT -p tcp --dport 901 -j ACCEPT <eos>
allow incoming TCP traffic on port 902,iptables -A INPUT -p tcp --dport 902 -j ACCEPT <eos>
allow incoming TCP traffic on port 903,iptables -A INPUT -p tcp --dport 903 -j ACCEPT <eos>
allow incoming TCP traffic on port 904,iptables -A INPUT -p tcp --dport 904 -j ACCEPT <eos>
allow incoming TCP traffic on port 905,iptables -A INPUT -p tcp --dport 905 -j ACCEPT <eos>
allow incoming TCP traffic on port 906,iptables -A INPUT -p tcp --dport 906 -j ACCEPT <eos>
allow incoming TCP traffic on port 907,iptables -A INPUT -p tcp --dport 907 -j ACCEPT <eos>
allow incoming TCP traffic on port 908,iptables -A INPUT -p tcp --dport 908 -j ACCEPT <eos>
allow incoming TCP traffic on port 909,iptables -A INPUT -p tcp --dport 909 -j ACCEPT <eos>
allow incoming TCP traffic on port 910,iptables -A INPUT -p tcp --dport 910 -j ACCEPT <eos>
allow incoming TCP traffic on port 911,iptables -A INPUT -p tcp --dport 911 -j ACCEPT <eos>
allow incoming TCP traffic on port 912,iptables -A INPUT -p tcp --dport 912 -j ACCEPT <eos>
allow incoming TCP traffic on port 913,iptables -A INPUT -p tcp --dport 913 -j ACCEPT <eos>
allow incoming TCP traffic on port 914,iptables -A INPUT -p tcp --dport 914 -j ACCEPT <eos>
allow incoming TCP traffic on port 915,iptables -A INPUT -p tcp --dport 915 -j ACCEPT <eos>
allow incoming TCP traffic on port 916,iptables -A INPUT -p tcp --dport 916 -j ACCEPT <eos>
allow incoming TCP traffic on port 917,iptables -A INPUT -p tcp --dport 917 -j ACCEPT <eos>
allow incoming TCP traffic on port 918,iptables -A INPUT -p tcp --dport 918 -j ACCEPT <eos>
allow incoming TCP traffic on port 919,iptables -A INPUT -p tcp --dport 919 -j ACCEPT <eos>
allow incoming TCP traffic on port 920,iptables -A INPUT -p tcp --dport 920 -j ACCEPT <eos>
allow incoming TCP traffic on port 921,iptables -A INPUT -p tcp --dport 921 -j ACCEPT <eos>
allow incoming TCP traffic on port 922,iptables -A INPUT -p tcp --dport 922 -j ACCEPT <eos>
allow incoming TCP traffic on port 923,iptables -A INPUT -p tcp --dport 923 -j ACCEPT <eos>
allow incoming TCP traffic on port 924,iptables -A INPUT -p tcp --dport 924 -j ACCEPT <eos>
allow incoming TCP traffic on port 925,iptables -A INPUT -p tcp --dport 925 -j ACCEPT <eos>
allow incoming TCP traffic on port 926,iptables -A INPUT -p tcp --dport 926 -j ACCEPT <eos>
allow incoming TCP traffic on port 927,iptables -A INPUT -p tcp --dport 927 -j ACCEPT <eos>
allow incoming TCP traffic on port 928,iptables -A INPUT -p tcp --dport 928 -j ACCEPT <eos>
allow incoming TCP traffic on port 929,iptables -A INPUT -p tcp --dport 929 -j ACCEPT <eos>
allow incoming TCP traffic on port 930,iptables -A INPUT -p tcp --dport 930 -j ACCEPT <eos>
allow incoming TCP traffic on port 931,iptables -A INPUT -p tcp --dport 931 -j ACCEPT <eos>
allow incoming TCP traffic on port 932,iptables -A INPUT -p tcp --dport 932 -j ACCEPT <eos>
allow incoming TCP traffic on port 933,iptables -A INPUT -p tcp --dport 933 -j ACCEPT <eos>
allow incoming TCP traffic on port 934,iptables -A INPUT -p tcp --dport 934 -j ACCEPT <eos>
allow incoming TCP traffic on port 935,iptables -A INPUT -p tcp --dport 935 -j ACCEPT <eos>
allow incoming TCP traffic on port 936,iptables -A INPUT -p tcp --dport 936 -j ACCEPT <eos>
allow incoming TCP traffic on port 937,iptables -A INPUT -p tcp --dport 937 -j ACCEPT <eos>
allow incoming TCP traffic on port 938,iptables -A INPUT -p tcp --dport 938 -j ACCEPT <eos>
allow incoming TCP traffic on port 939,iptables -A INPUT -p tcp --dport 939 -j ACCEPT <eos>
allow incoming TCP traffic on port 940,iptables -A INPUT -p tcp --dport 940 -j ACCEPT <eos>
allow incoming TCP traffic on port 941,iptables -A INPUT -p tcp --dport 941 -j ACCEPT <eos>
allow incoming TCP traffic on port 942,iptables -A INPUT -p tcp --dport 942 -j ACCEPT <eos>
allow incoming TCP traffic on port 943,iptables -A INPUT -p tcp --dport 943 -j ACCEPT <eos>
allow incoming TCP traffic on port 944,iptables -A INPUT -p tcp --dport 944 -j ACCEPT <eos>
allow incoming TCP traffic on port 945,iptables -A INPUT -p tcp --dport 945 -j ACCEPT <eos>
allow incoming TCP traffic on port 946,iptables -A INPUT -p tcp --dport 946 -j ACCEPT <eos>
allow incoming TCP traffic on port 947,iptables -A INPUT -p tcp --dport 947 -j ACCEPT <eos>
allow incoming TCP traffic on port 948,iptables -A INPUT -p tcp --dport 948 -j ACCEPT <eos>
allow incoming TCP traffic on port 949,iptables -A INPUT -p tcp --dport 949 -j ACCEPT <eos>
allow incoming TCP traffic on port 950,iptables -A INPUT -p tcp --dport 950 -j ACCEPT <eos>
allow incoming TCP traffic on port 951,iptables -A INPUT -p tcp --dport 951 -j ACCEPT <eos>
allow incoming TCP traffic on port 952,iptables -A INPUT -p tcp --dport 952 -j ACCEPT <eos>
allow incoming TCP traffic on port 953,iptables -A INPUT -p tcp --dport 953 -j ACCEPT <eos>
allow incoming TCP traffic on port 954,iptables -A INPUT -p tcp --dport 954 -j ACCEPT <eos>
allow incoming TCP traffic on port 955,iptables -A INPUT -p tcp --dport 955 -j ACCEPT <eos>
allow incoming TCP traffic on port 956,iptables -A INPUT -p tcp --dport 956 -j ACCEPT <eos>
allow incoming TCP traffic on port 957,iptables -A INPUT -p tcp --dport 957 -j ACCEPT <eos>
allow incoming TCP traffic on port 958,iptables -A INPUT -p tcp --dport 958 -j ACCEPT <eos>
allow incoming TCP traffic on port 959,iptables -A INPUT -p tcp --dport 959 -j ACCEPT <eos>
allow incoming TCP traffic on port 960,iptables -A INPUT -p tcp --dport 960 -j ACCEPT <eos>
allow incoming TCP traffic on port 961,iptables -A INPUT -p tcp --dport 961 -j ACCEPT <eos>
allow incoming TCP traffic on port 962,iptables -A INPUT -p tcp --dport 962 -j ACCEPT <eos>
allow incoming TCP traffic on port 963,iptables -A INPUT -p tcp --dport 963 -j ACCEPT <eos>
allow incoming TCP traffic on port 964,iptables -A INPUT -p tcp --dport 964 -j ACCEPT <eos>
allow incoming TCP traffic on port 965,iptables -A INPUT -p tcp --dport 965 -j ACCEPT <eos>
allow incoming TCP traffic on port 966,iptables -A INPUT -p tcp --dport 966 -j ACCEPT <eos>
allow incoming TCP traffic on port 967,iptables -A INPUT -p tcp --dport 967 -j ACCEPT <eos>
allow incoming TCP traffic on port 968,iptables -A INPUT -p tcp --dport 968 -j ACCEPT <eos>
allow incoming TCP traffic on port 969,iptables -A INPUT -p tcp --dport 969 -j ACCEPT <eos>
allow incoming TCP traffic on port 970,iptables -A INPUT -p tcp --dport 970 -j ACCEPT <eos>
allow incoming TCP traffic on port 971,iptables -A INPUT -p tcp --dport 971 -j ACCEPT <eos>
allow incoming TCP traffic on port 972,iptables -A INPUT -p tcp --dport 972 -j ACCEPT <eos>
allow incoming TCP traffic on port 973,iptables -A INPUT -p tcp --dport 973 -j ACCEPT <eos>
allow incoming TCP traffic on port 974,iptables -A INPUT -p tcp --dport 974 -j ACCEPT <eos>
allow incoming TCP traffic on port 975,iptables -A INPUT -p tcp --dport 975 -j ACCEPT <eos>
allow incoming TCP traffic on port 976,iptables -A INPUT -p tcp --dport 976 -j ACCEPT <eos>
allow incoming TCP traffic on port 977,iptables -A INPUT -p tcp --dport 977 -j ACCEPT <eos>
allow incoming TCP traffic on port 978,iptables -A INPUT -p tcp --dport 978 -j ACCEPT <eos>
allow incoming TCP traffic on port 979,iptables -A INPUT -p tcp --dport 979 -j ACCEPT <eos>
allow incoming TCP traffic on port 980,iptables -A INPUT -p tcp --dport 980 -j ACCEPT <eos>
allow incoming TCP traffic on port 981,iptables -A INPUT -p tcp --dport 981 -j ACCEPT <eos>
allow incoming TCP traffic on port 982,iptables -A INPUT -p tcp --dport 982 -j ACCEPT <eos>
allow incoming TCP traffic on port 983,iptables -A INPUT -p tcp --dport 983 -j ACCEPT <eos>
allow incoming TCP traffic on port 984,iptables -A INPUT -p tcp --dport 984 -j ACCEPT <eos>
allow incoming TCP traffic on port 985,iptables -A INPUT -p tcp --dport 985 -j ACCEPT <eos>
allow incoming TCP traffic on port 986,iptables -A INPUT -p tcp --dport 986 -j ACCEPT <eos>
allow incoming TCP traffic on port 987,iptables -A INPUT -p tcp --dport 987 -j ACCEPT <eos>
allow incoming TCP traffic on port 988,iptables -A INPUT -p tcp --dport 988 -j ACCEPT <eos>
allow incoming TCP traffic on port 989,iptables -A INPUT -p tcp --dport 989 -j ACCEPT <eos>
allow incoming TCP traffic on port 990,iptables -A INPUT -p tcp --dport 990 -j ACCEPT <eos>
allow incoming TCP traffic on port 991,iptables -A INPUT -p tcp --dport 991 -j ACCEPT <eos>
allow incoming TCP traffic on port 992,iptables -A INPUT -p tcp --dport 992 -j ACCEPT <eos>
